chrom	start	end	DHB	asym.H3K9me3	asym.methyl	DHS	CTCF	lncRNA	methylated.ZFP57	asym.expression	asym.modification	regulatory.elements	score
chr9	86836400	86837000	spMHB339	1	0	0	0	0	0	0	0.1	0	0.1
chr9	115700200	115701000	spMHB345	0	1	0	0	0	0	0	0.1	0	0.1
chr10	11407800	11409200	spMHB29	0	0	0	0	0	0	0	0	0	0
chr15	33717000	33717600	spMHB106	0	0	0	0	0	0	0	0	0	0
chr16	28462000	28462800	spMHB117	0	0	0	0	0	0	0	0	0	0
chr16	70373200	70373800	spMHB122	0	0	0	0	0	0	0	0	0	0
chr17	78196800	78198600	spMHB138	0	0	0	0	0	0	0	0	0	0
chr17	82200000	82200600	spMHB139	0	0	0	0	0	0	0	0	0	0
chr18	15672800	15673600	spMHB145	0	0	0	0	0	0	0	0	0	0
chr18	73037200	73038000	spMHB151	0	0	0	0	0	0	0	0	0	0
chr5	39898000	39898800	spMHB233	0	0	0	0	0	0	0	0	0	0
chr5	146311800	146312800	spMHB255	0	0	0	0	0	0	0	0	0	0
chr5	146736200	146737000	spMHB256	0	0	0	0	0	0	0	0	0	0
chr7	47245000	47245600	spMHB293	0	0	0	0	0	0	0	0	0	0
chr7	128935600	128939300	spMHB302	0	0	0	0	0	0	0	0	0	0
chr8	19389400	19392200	spMHB311	0	0	0	0	0	0	0	0	0	0
chr8	77314600	77318600	spMHB318	0	0	0	0	0	0	0	0	0	0
chr9	111792400	111793200	spMHB343	0	0	0	0	0	0	0	0	0	0
